# WFS, circular loudspeaker array, center listening position, noise
# stimuli, rating, 95%_confidence_interval
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_ref.wav,       -0.9210,    0.0834
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_stereo.wav,     0.0373,    0.2573
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0014.wav,    0.2521,    0.1748
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0028.wav,    0.3200,    0.1894
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0056.wav,    0.2672,    0.1789
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0112.wav,    0.1109,    0.1702
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0224.wav,   -0.4555,    0.1760
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0448.wav,   -0.9190,    0.0463
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_nls0896.wav,   -0.9491,    0.0407
experiments/2015-10-01_wfs_coloration/brs/wfs_circular_center_anchor.wav,     0.8591,    0.1258
